Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,diagnosis,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,neoplastic,Organism,Patient_ID,plate_id,Platform,ReleaseDate,Sample Name,selection,source_name,SRA Study,TISSUE,tsne_cluster,Well
SRR3934366,RNA-Seq,128,120167173,PRJNA330719,SAMN05421250,44922714,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963658,GSM2243456,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243456,Unpanned,Brain,SRP079058,Tumor,11,B10
SRR3934367,RNA-Seq,128,233579590,PRJNA330719,SAMN05421251,89487029,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963659,GSM2243457,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243457,Unpanned,Brain,SRP079058,Tumor,11,A7
SRR3934368,RNA-Seq,128,319456810,PRJNA330719,SAMN05421252,121930051,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963660,GSM2243458,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243458,Unpanned,Brain,SRP079058,Tumor,11,B8
SRR3934369,RNA-Seq,128,295894401,PRJNA330719,SAMN05421253,112395646,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963661,GSM2243459,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243459,Unpanned,Brain,SRP079058,Tumor,11,F9
SRR3934370,RNA-Seq,128,126757545,PRJNA330719,SAMN05421254,48988142,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963662,GSM2243460,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243460,Unpanned,Brain,SRP079058,Tumor,11,G6
SRR3934371,RNA-Seq,128,247798814,PRJNA330719,SAMN05421255,94158755,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963663,GSM2243461,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243461,Unpanned,Brain,SRP079058,Tumor,11,A9
SRR3934372,RNA-Seq,128,189431758,PRJNA330719,SAMN05421256,72129141,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963664,GSM2243462,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243462,Unpanned,Brain,SRP079058,Tumor,11,D2
SRR3934373,RNA-Seq,128,167337611,PRJNA330719,SAMN05421257,63504953,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963665,GSM2243463,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243463,Unpanned,Brain,SRP079058,Tumor,11,F2
SRR3934374,RNA-Seq,128,199029064,PRJNA330719,SAMN05421245,76047606,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963666,GSM2243464,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243464,Unpanned,Brain,SRP079058,Tumor,11,H9
SRR3934375,RNA-Seq,128,213743040,PRJNA330719,SAMN05421098,81406530,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963667,GSM2243465,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243465,Unpanned,Brain,SRP079058,Tumor,11,G1
SRR3934376,RNA-Seq,128,243604916,PRJNA330719,SAMN05421258,93246408,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963668,GSM2243466,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243466,Unpanned,Brain,SRP079058,Tumor,11,B3
SRR3934377,RNA-Seq,128,225360791,PRJNA330719,SAMN05421259,86506048,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963669,GSM2243467,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243467,Unpanned,Brain,SRP079058,Tumor,11,D7
SRR3934378,RNA-Seq,128,251626918,PRJNA330719,SAMN05421115,96194955,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963670,GSM2243468,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243468,Unpanned,Brain,SRP079058,Tumor,11,A12
SRR3934379,RNA-Seq,128,223427366,PRJNA330719,SAMN05421260,84974087,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963671,GSM2243469,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243469,Unpanned,Brain,SRP079058,Tumor,11,C1
SRR3934380,RNA-Seq,128,216288705,PRJNA330719,SAMN05421261,82940301,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963672,GSM2243470,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243470,Unpanned,Brain,SRP079058,Tumor,11,H7
SRR3934381,RNA-Seq,128,227074443,PRJNA330719,SAMN05421262,87436987,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963673,GSM2243471,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243471,Unpanned,Brain,SRP079058,Tumor,11,H5
SRR3934382,RNA-Seq,128,203014452,PRJNA330719,SAMN05421112,77055513,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963674,GSM2243472,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243472,Unpanned,Brain,SRP079058,Tumor,11,G2
SRR3934383,RNA-Seq,128,284584767,PRJNA330719,SAMN05421113,108212246,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963675,GSM2243473,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243473,Unpanned,Brain,SRP079058,Tumor,11,A3
SRR3934384,RNA-Seq,128,197320016,PRJNA330719,SAMN05421114,75411794,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963676,GSM2243474,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243474,Unpanned,Brain,SRP079058,Tumor,11,D3
SRR3934385,RNA-Seq,128,362221332,PRJNA330719,SAMN05421243,137510213,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963677,GSM2243475,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243475,Unpanned,Brain,SRP079058,Tumor,11,E1
SRR3934386,RNA-Seq,128,214776281,PRJNA330719,SAMN05421236,81802739,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963678,GSM2243476,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243476,Unpanned,Brain,SRP079058,Tumor,11,G12
SRR3934387,RNA-Seq,128,215013547,PRJNA330719,SAMN05421237,82406801,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963679,GSM2243477,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243477,Unpanned,Brain,SRP079058,Tumor,11,C10
SRR3934388,RNA-Seq,128,251526363,PRJNA330719,SAMN05421238,95755337,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963680,GSM2243478,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243478,Unpanned,Brain,SRP079058,Tumor,11,C3
SRR3934389,RNA-Seq,128,260455666,PRJNA330719,SAMN05421239,99176929,Immune cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963681,GSM2243479,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Regular,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243479,Unpanned,Brain,SRP079058,Tumor,7,D11
SRR3934390,RNA-Seq,128,295100719,PRJNA330719,SAMN05421240,112403501,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963682,GSM2243480,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243480,Unpanned,Brain,SRP079058,Tumor,11,A5
SRR3934391,RNA-Seq,128,229615022,PRJNA330719,SAMN05421241,87988961,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963683,GSM2243481,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243481,Unpanned,Brain,SRP079058,Tumor,11,G4
SRR3934392,RNA-Seq,128,326439841,PRJNA330719,SAMN05421242,125375707,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963684,GSM2243482,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243482,Unpanned,Brain,SRP079058,Tumor,11,B11
SRR3934393,RNA-Seq,128,211719255,PRJNA330719,SAMN05421244,81136852,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963685,GSM2243483,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243483,Unpanned,Brain,SRP079058,Tumor,11,G9
SRR3934394,RNA-Seq,128,274518977,PRJNA330719,SAMN05420913,104736883,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963686,GSM2243484,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243484,Unpanned,Brain,SRP079058,Tumor,11,F1
SRR3934395,RNA-Seq,128,270963550,PRJNA330719,SAMN05420914,103150654,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963687,GSM2243485,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243485,Unpanned,Brain,SRP079058,Tumor,11,D8
SRR3934396,RNA-Seq,128,206287069,PRJNA330719,SAMN05420915,78502427,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963688,GSM2243486,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243486,Unpanned,Brain,SRP079058,Tumor,11,E12
SRR3934397,RNA-Seq,128,346059934,PRJNA330719,SAMN05420916,131395243,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963689,GSM2243487,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243487,Unpanned,Brain,SRP079058,Tumor,11,F11
SRR3934398,RNA-Seq,128,295022206,PRJNA330719,SAMN05420917,111782804,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963690,GSM2243488,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243488,Unpanned,Brain,SRP079058,Tumor,11,E5
SRR3934399,RNA-Seq,128,209374469,PRJNA330719,SAMN05420918,79775560,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963691,GSM2243489,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243489,Unpanned,Brain,SRP079058,Tumor,11,G10
SRR3934400,RNA-Seq,128,283883160,PRJNA330719,SAMN05420919,108149338,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963692,GSM2243490,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243490,Unpanned,Brain,SRP079058,Tumor,11,B9
SRR3934401,RNA-Seq,128,262555909,PRJNA330719,SAMN05420920,99555856,Immune cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963693,GSM2243491,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Regular,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243491,Unpanned,Brain,SRP079058,Tumor,8,F8
SRR3934402,RNA-Seq,128,289166412,PRJNA330719,SAMN05420921,110352955,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963694,GSM2243492,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243492,Unpanned,Brain,SRP079058,Tumor,11,C7
SRR3934403,RNA-Seq,128,237631540,PRJNA330719,SAMN05420922,90831287,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963695,GSM2243493,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243493,Unpanned,Brain,SRP079058,Tumor,11,B2
SRR3934404,RNA-Seq,128,185371012,PRJNA330719,SAMN05420923,71094060,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963696,GSM2243494,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243494,Unpanned,Brain,SRP079058,Tumor,11,H4
SRR3934405,RNA-Seq,128,207705151,PRJNA330719,SAMN05420924,78860352,Immune cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963697,GSM2243495,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Regular,Homo sapiens,BT_S2,1001000173,ILLUMINA,2017-11-02T00:00:00Z,GSM2243495,Unpanned,Brain,SRP079058,Tumor,8,D1
SRR3934406,RNA-Seq,128,138855095,PRJNA330719,SAMN05420925,55659094,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963698,GSM2243496,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000174,ILLUMINA,2017-11-02T00:00:00Z,GSM2243496,Unpanned,Brain,SRP079058,Tumor,11,G5
SRR3934407,RNA-Seq,128,233605759,PRJNA330719,SAMN05420926,94389152,Neoplastic,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",glioblastoma,SRX1963699,GSM2243497,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Neoplastic,Homo sapiens,BT_S2,1001000174,ILLUMINA,2017-11-02T00:00:00Z,GSM2243497,Unpanned,Brain,SRP079058,Tumor,11,H9
